FiscalVendorId,FiscalVendorCode,VendorName,SierraVendorCode
474,268216,ASSOCIATION ON AMERICAN INDIAN,23122
475,266802,AST PRESS,21631
476,268248,ASTM INTERNATIONAL,23157
477,265395,ASTRAGAL PRESS,16767
478,267605,ASTRO COMMUNICATIONS SERVICES,22473
479,267108,ASTROLABE,21958
480,267340,ATELIERS VIS-A-VIS,22196
481,268912,ATHENS COUNTY HISTORICAL,79704
482,264902,ATHENS COUNTY HISTORICAL SOCIE,10867
483,267728,ATHLETIC GUIDE PUBLISHERS,22600
484,268064,ATLANTA HISTORY CENTER,22956
485,265621,ATLANTA MAGAZINE,18493
486,266532,ATLANTA MAGAZINE,21348
487,267348,ATORI PUBLISHING INC.,22204
488,267963,ATS PUBLICATIONS INC.,22847
489,266816,ATWOOD PUBLISHING LLC,21645
490,265550,AUDIO BOOK CONTRACTORS INC.,1797
491,265589,AUDIO BOOK SERVICES INC.,18260
492,265318,AUDIO BOOKSHELF,15927
493,268327,AUDIO EDITIONS,2723
494,265129,AUDIO LITERATURE,13731
495,266033,AUDIO PARTNERS,20516
496,265210,AUDIO RENAISSANCE TAPES,14664
497,266623,AUDIO THERAPY INNOVATIONS,21443
498,266497,AUDIOFILE,21313
499,277252,AUDIOGO,v709
500,267205,AUDIOVISION CANADA,22059
501,268335,AUDREY GILBERT,28350
502,267105,AUDUBON OHIO,21955
503,271512,AUGLAISZE COUNTY GENEALOGICAL,v329
504,268789,AUGLAIZE COUNTY GENEALOGICAL,6898
505,280739,AUGUST PUBLICATIONS,v1071
506,282463,AUGUSTA GENEALOGICAL SOCIETY,v1390
507,272428,AUGUSTA RICHMOND COUNTY HISTOR,v432
508,267735,AUNT LUTE BOOKS,22608
509,274964,AUSTRALIAN JEWISH GENEALOGICAL,v602
510,268907,AUTO-GRAPHICS INC.,79579
511,266505,AUTOMOBILE CLUB OF SO CALIF,21321
512,266630,AUTOMOBILE QUARTERLY,21450
513,265367,AUTOWEEK,16455
514,270818,AUTUMN LEAVES PUBLISHING,v237
515,267496,AUX AMATEURS DE LIVRES,22357
516,267478,AV CAFE,22338
517,266321,AVALON TRAVEL PUBLISHING,21126
